ËõĞ´	Ó¢ÎÄ	ÖĞÎÄ	Àà±ğ
null	Male	²åÍ·£¬²å¼ş	null
MAN	manual	ÊÖ¶¯µÄ£¬ÊÖ¿Ø	null
null	Manifold technology	£¨ÒôÏä£©¶àÆç¹Ü¼¼Êõ	null
null	Manipulate	²Ù×÷£¬¼ü¿Ø	null
null	MANP	ÊÖ¶¯´©²å	null
null	Manual	ÊÖ¶¯µÄ£¬ÈË¹¤µÄ£¬ÊÖ²á£¬ËµÃ÷Êé	null
null	March	½øĞĞÇú	null
null	Margin	£¨µçÆ½£©ÓàÁ¿	null
null	Mark	±êÖ¾£¬·ûºÅ£¬±ê¼Ç	null
null	Mash	Ñ¹µÍ£¬ÄëËé	null
null	Masking	ÑÚ±Î	null
null	Master	×ÜÒôÁ¿¿ØÖÆ£¬µ÷ÒôÌ¨£¬Ö÷ÅÌ£¬±ê×¼µÄ£¬Ö÷µÄ£¬×ÜÂ·	null
MAR	Matrix	¾ØÕó£¬µ÷ÒôÌ¨¾ØÕó£¨M£©£¬±à×é	null
null	Match	Æ¥Åä£¬ÊÊÅä£¬Åä¶Ô	null
null	Matrix quad system	¾ØÕóËÄÉùµÀÁ¢ÌåÉùÏµÍ³	null
MAX	maximum	×î´ó£¬×î´óÖµ	null
MB	megabytes	Õ××Ö½Ú	null
MC	manual control	ÊÖ¿Ø£¬ÊÖ¶¯¿ØÖÆ	null
MCH	multiple chorus	¶àÂ·ºÏ³ª	null
MCR	multiple cjhannel amplification reverberation	¶àÂ·»ìÏìÔöÇ¿	null
MD	mini disc	¹â´ÅÅÌ³ª»ú£¬Ğ¡ĞÍÂ¼·Å³ªÅÌ	null
MD	moving coil	¶¯È¦Ê½	null
MDL	modulation delay	µ÷ÖÆÑÓÊ±	null
MEAS	measure	²âÁ¿£¬·¶Î§£¬²âÊÔ	null
null	Measure	ÀÖÇúµÄ£¬Ğ¡½Ú	null
null	Meas edit	Ğ¡½á±à¼­	null
MECH	mechanism	»úĞµ×°ÖÃ	null
MED	medium	ÊÊÖĞ£¬ÖĞ¼ä£¨µ²Î»£©	null
null	Medley	»ìºÏ	null
null	Mega bass	³¬ÖØµÍÒô	null
MEM	memory	´æ´¢Æ÷£¬´æ´¢£¬¼ÇÒä	null
null	Member	²¿¼ş£¬³ÉÔ±	null
null	Menu	²Ëµ¥£¬Ä¿Â¼£¬±í¸ñ	null
MEQ	mono equalizer	µ¥ÉùµÀ¾ùºâÆ÷	null
null	Merge	ºÏ²¢£¬»ã×Ü£¬ÈÚºÏ	null
null	Meridian	¶¥µãµÄ£¬·åÖµ	null
null	Measure	Ğ¡½á	null
null	Megaphone	À®°ÈÍ²	null
null	Mel	ÃÀ£¨Òôµ÷µ¥Î»£©	null
null	Menu	²Ëµ¥£¬½ÚÄ¿±í	null
null	Message	Í¨ĞÅ£¬ÁªÏµ	null
null	Metal	½ğÊô£¨Ğ§¹ûÉù£©	null
null	Metal tape	½ğÊô´Å´ø	null
null	Meter	µçÆ½±í£¬±íÍ·£¬ÒÇ±í	null
null	Metronome	½ÚÅÄÆ÷	null
MF	matched filter	Æ¥ÅäÂË²¨Æ÷	null
MF	maveform	²¨ĞÎ	null
MF	middle frequency	ÖĞÆµ£¬ÖĞÒô	null
MFL	multiple flange	¶à²ã·¨À¼£¨Ïâ±ß£©Ğ§¹û	null
MFT	multiplprogramming with a fixed number of tasks	ÈÎÎñÊıÁ¿¹Ì¶¨µÄ¶àÍ¨µÀ³ÌĞòÉè¼Æ	null
MIC	micro	Î¢Ã×	null
MIC	microphone	»°Í²£¬Âó¿Ë·ç£¬´«ÉùÆ÷	null
null	Michcho level	»°Í²»ìÏìµçÆ½	null
null	Micro monitor amp	Î¢Òô¼àÌı·Å´óÆ÷	null
MICROVERB	microcomputer reverb	Î¢´¦Àí»ú»ìÏì	null
MID	middle	ÖĞ¼äµÄ£¬ÖĞ²¿µÄ£¬ÖĞÒô£¬ÖĞÆµ	null
MIDI	music instrument digital interface	µç×ÓÀÖÆ÷Êı×Ö½Ó¿Ú	null
MIN	minimum	×îĞ¡£¬×îĞ¡Öµ	null
MIN	minute	·ÖÖÓ	null
MIND	master integrated network device	Ò»Ìå»¯ÍøÂç×Ü×°ÖÃ	null
null	Minitrim	Î¢µ÷	null
null	Minitrue	Î¢»úµ÷Õû	null
null	Minor chord	Ğ¡ÈıºÍÏÒ	null
null	Mismatch	Ê§Åä	null
null	Mistermination	ÖÕ¶ËÊ§Åä	null
null	MIX	»ìºÏ£¬ÒôÁ¿±ÈÀıµ÷½Ú	null
null	Mixer	µ÷ÒôÌ¨£¬»ìÒôÆ÷	null
MM	moving magnet	¶¯´ÅÊ½	null
MNTR	monitor	¼à¿ØÆ÷	null
MNOS	metallic nitrogen - oxide semiconductor	½ğÊôµªÑõ»¯Îï°ëµ¼Ìå	null
MO	magneto optical	¿ÉÄ¨¿ÉÂ¼ĞÍ¹âÅÌ	null
MOC	magnet oscillator circuit	Ö÷Õñµ´µçÂ·	null
MOD	mode	×´Ì¬£¬·½Ê½£¬Ä£Ê½	null
MOD	model	ĞÍºÅ£¬ÑùÊ½£¬Ä£ĞÍ£¬µäĞÍµÄ	null
MOD	modulation	µ÷ÖÆ	null
null	Mode	×´Ì¬£¬£¨ÀÖÇúµÄ£©µ÷Ê½	null
null	Mode select	·½Ê½Ñ¡Ôñ	null
null	Mush	ÔëÉù¸ÉÈÅ£¬·ÖĞ³²¨	null
null	Mush area	²»Á¼½ÓÊÕÇø	null
null	Music	ÒôÀÖ£¬ÀÖÇú	null
null	Music center	ÒôÀÖÖĞĞÄ£¬×éºÏÒôÏì	null
null	Music conductor	ÒôÀÖ¿ØÖÆÆ÷	null
MUT	mute	¾²Òô£¬ÑÆÒô£¬ÔëÉù¿ØÖÆ	null
null	Muting	ÒÖÖÆ£¬Ïû³ı	null
null	Multiple	¸´ºÏµÄ£¬¶àÏîµÄ£¬¶àÖØµÄ	null
MV	mean value	Æ½¾ùÖµ	null
MV	multivibrator	¶àĞ³Õñµ´Æ÷	null
MW	medium wave	ÖĞ²¨	null
MXE	mono exciter	µ¥ÉùµÀ¼¤ÀøÆ÷	null
MXR	mixer	»ìÆµÆ÷	null
null	Name	Ãû³Æ£¬ÃüÃû	null
null	Natural	×ÔÈ»µÄ£¬ÌìÈ»µÄ£¬¹ÌÓĞµÄ	null
null	Naught	Áã£¬ÎŞ¼ÛÖµ	null
NC	network controller	ÍøÂç¿ØÖÆÆ÷	null
NC	numberical control	Êı×Ö¿ØÖÆ	null
NC	needle chatter	³ªÕëÔëÉù	null
null	Nazard	Èı±¶Òô	null
null	Near field	½ü³¡	null
NEG	negative	¸º£¬Òõ£¨¼«£©	null
null	NEMO	Êµ¿ö×ª²¥	null
NEP	noise equivalent power	ÔëÉùµÈĞ§¹¦ÂÊ	null
null	News	ÈËÉù¹ã²¥ÒôÏìĞ§¹û£¬ĞÂÎÅ	null
null	Next	ÏÂÒ»¸ö£¬³ªÆ¬Ìø»ØÏÂÇú¼ü	null
NF	NFB negative feedback	¸º·´À¡	null
NG	no go	²»Í¨£¬²»¹¤×÷	null
NG	noise generator	ÔëÉù·¢ÉúÆ÷	null
null	Ni-Cd nickel-cadmium	ÄøïÓ³äµçµç³Ø	null
NICAM	near instantaneous companded audio multiplex	×¼Ë²Ê±Ñ¹À©ÉùÒô¶àÂ·¸´ÓÃ£¬µçÊÓÀöÒô£¬Êı×Ö¶àÂ·°éÒôÏµÍ³	null
null	NIL	Áãµã	null
null	Noise	ÔëÒô	null
null	Noise gate	ÔëÉùÃÅ£¬Ñ¡Í¨Æ÷	null
null	Noise suppressor	ÔëÉùÒÖÖÆÆ÷	null
NOM	nominal	±ê³ÆµÄ£¬¶î¶¨µÄ	null
null	Non-direction	È«ÏòµÄ£¬ÎŞÖ¸ÏòĞÔµÄ	null
null	Nonieme	¾Å±¶Òô	null
NOP	no operation	ÎŞ²Ù×÷Ö¸Áî	null
null	NORM	Æ½¾ùÖµ	null
null	Normal frequency	¼òÕı£¨¹²Õñ£©ÆµÂÊ	null
null	Notch	´¥µã	null
null	Note	·ûºÅ£¬×¢ÊÍ£¬Òôµ÷£¬ÒôÂÉ£¬¼ÇÂ¼	null
null	Notice	×¢ÒâÊÂÏî£¬¼ò½é	null
NO	number	Êı×Ö£¬ºÅÂë	null
NR	noise ratio	ÔëÉù±È	null
NR	noise reduction	½µÔë£¬ÔëÉùÏû³ı	null
NR	number	Êı×Ö£¬±àºÅ	null
NAB	national association of broadcasters	¹ú¼Ò¹ã²¥¹¤×÷ÕßĞ­»á	null
NTSC	national television system committee	£¨ÃÀ¹ú£©¹ú¼ÒµçÊÓÏµÍ³Î¯Ô±»á£¬Õı½»Æ½ºâµ÷·ùÖÆ²ÊÉ«µçÊÓÖÆÊ½	null
null	Null	¿ÕÎ»£¬ÎŞĞ§µÄ	null
NV	noise variance	ÔëÉù·½²î	null
NVT	network virtual terminal	ÍøÂçĞéÄâÖÕ¶Î	null
MODEM	modulator demodulator	µ÷ÖÆ½âµ÷Æ÷	null
null	Moderato	ÖĞËÙ	null
null	Modifier	µ÷½ÚÆ÷	null
null	Modify	ĞŞ¸Ä£¬µ÷ÊÔ£¬Ä¦»ú£¬ÏŞ¶¨	null
null	Modulator	µ÷ÖÆÆ÷	null
null	Module	Ä£¿é£¬×é¼ş£¬ÒòÊı£¬³ÌĞòÆ¬	null
MOL	maximum output level	×î´óÊä³öµçÆ½	null
MON	monitor	¼àÌı£¬¼àÊÓÆ÷	null
null	MONI	¼àÌı£¬µ÷ÒôÊ¦	null
null	Monkey chatter	´®Òô£¬ÁÚÆµ¸ÉÈÅ£¬½»²æÊ§Õæ	null
null	Mono	µ¥ÉùµÀ£¬µ¥Ò»	null
null	Monopit	µ¥Éù±äµ÷	null
null	Motor cue	»»»úĞÅºÅ£¬ÇĞ»»ĞÅºÅ	null
MOS	metal-oxide semiconductor	½ğÊôÑõ»¯Îï°ëµ¼Ìå	null
null	Motor	Âí´ï£¬µç»ú	null
null	Movie theater	Ó°¾çÔº	null
null	Moviola	Éù»­¼ô¼­»ú	null
null	Moving-iron loudspeaker	Éà»ÉÑïÉùÆ÷	null
MPEG	motion picture coding experts group	»î¶¯Í¼Ïñ±àÂë×¨¼Ò×é£¬Êı×ÖÉùÏñĞÅÏ¢Ñ¹Ëõ±ê×¼	null
MPF	master pre feed	Ö÷¿ØÇ°À¡ËÍ	null
MPH	multiple phaser	¶à¼¶ÒÆÏàÆ÷	null
MPO	maximum power output	×î´óÊä³ö¹¦ÂÊ	null
MPO	music power output	ÒôÀÖÊä³ö¹¦ÂÊ	null
MPR	master pre return	Ö÷¿ØÇ°·µ»Ø	null
MPS	main power switch	Ö÷µçÔ´¿ª¹Ø	null
MPS	manual phase shifter	ÊÖ¿ØÏàÒÆÆ÷	null
MPS	microphone power supply	»°Í²µçÔ´	null
MPS	microprocessor system	¶àÓÃÍ¾È¡ÑùÏµÍ³	null
MPX	multiplex	¶àÂ·´«Êä£¬¶à´ÎÖØ¸´Ê¹ÓÃ£¬¶àÂ·×ª»»£¬¸´ºÏ	null
MPX	multiplexer	¶àÂ·×ª»»Æ÷£¬¶àÂ·µ÷ÖÆÆ÷	null
MPX	VCO	¶àÂ·½âµ÷Ñ¹¿ØÕñµ´	null
MQSS	music quick select system	¿ìËÙÒôÀÖÑ¡ÔñÏµÍ³	null
MR	memory read	´æ´¢Æ÷¶Á³ö	null
MS	manual search	ÊÖ¶¯¼ìË÷	null
MS	middle side	Ò»ÖÖµüºÏÂ¼Òô¼¼Êõ	null
MSSS	multi space ound system	¶àÎ¬¿Õ¼äÉùÏµÍ³	null
MSW	microswitch	Î¢¶¯¿ª¹Ø	null
MT	multi track	¶à¹ì	null
MTD	multiple delay	¶à´ÎÑÓÊ±	null
MTR	magnetic tape redorder	´Å´ø¼ÇÂ¼Æ÷	null
MTR	micro-wave transmission	Î¢²¨´«Êä	null
MTR	motor	µç¶¯»ú	null
MTS	multi-channel television sound	¶àÉùµÀµçÊÓ°éÒô	null
MTV	music TV	ÒôÀÖµçÊÓ£¨½ÚÄ¿£©	null
MUF	maximum usable frequency	×î¸ß¿ÉÓÃÆµÂÊ	null
MULT	multiplier	±¶ÔöÆ÷£¬¹âµç±¶Ôö¹Ü	null
null	Multi	²¢ÁªµÄ£¬¶àÂ·ÏµÍ³	null
null	Multidimention control	Éù³¡Õ¹¿í¿ØÖÆ£¬¶àÎ¬¿ØÖÆ	null
null	Multiband	¶àÆµ¶Î	null
null	Multi-echo	¶àÖØ»ØÉù	null
null	Multi plex	¶àÂ·´«Éù	null
null	Multitap	×ª½Ó£¬£¨¶à²åÍ·£©²å×ù	null
null	Multiple channel	¶àÍ¨µÀ	null
null	Multiple effects	×ÛºÏĞ§¹û´¦Àí×°ÖÃ	null
null	Multiple jack	¶àÑÛ²å×ù	null
null	Multisound	Ô­Ê¼ÒôÉ«	null
MUPO	maximum undistorted power output	×î´ó²»Ê§ÕæÊä³ö¹¦ÂÊ	null
MUSE	multiple sub-Nyquist sompling encoding	¶àÖØÄÎ¿üË¹ÌØÈ¡Ñù±àÂë	null
null	MIDI	¸ñÊ½ÎÄ¼ş	null
null	MIDI	ĞÅÏ¢£¬È«¹ı³Ì	null
N	normal	Õı³££¬ÆÕÍ¨£¬±ê×¼	null
N	negative	Òõ¼«£¬¸º¼«	null
null	ohm	Å·Ä·£¨µç×èµÄµ¥Î»£©	null
null	Oboe	Ë«»É¹Ü	null
OCK	operation control key	²Ù×÷¿ØÖÆ¼ü	null
OCL	output capacitorless	ÎŞÊä³öµçÈİ¹¦ÂÊ·Å´óÆ÷	null
OCL	output control line	Êä³ö¿ØÖÆÏß	null
OCT	octave	±¶Æµ³Ì£¬°Ë¶ÈÒô	null
OD	operations directive	²Ù×÷Ö¸Ê¾	null
OD	optical density	¹âÃÜ¶È	null
OD	over drive	¹ı¼¤Àø	null
OFC	office	Ö°ÄÜ	null
OFC	oxygen-free cupreous	ÎŞÑõÍ­µ¼Ïß	null
null	Off	¹Ø±Õ£¬¶Ï¿ª	null
null	Offering	ÌîÈë£¬Ìá¹©	null
null	Offset	£¨ÒÆÏà£©²¹³¥£¬ĞŞÊÎ£¬Æ«ÖÃ	null
OFHC	oxygen free high conductivity copper	¸ßµ¼µçÂÊÎŞÑõÍ­µ¼Ïß	null
null	Ohm	Å·Ä·	null
null	OK	È·ÈÏ	null
OL	on line	ÔÚÏß£¬Á¬»ú	null
OL	over load	¹ıÔØ	null
null	Omnidirectional	ÎŞ·½ÏòĞÔµÄ	null
null	On	¿ª£¬½ÓÍ¨	null
null	Once	Ò»´Î£¬µ¥´Î	null
null	One-way relay play	µ¥ÏòÌæ»»·ÅÒô	null
null	Online	Áª»ú£¬ÁªÏß	null
null	Only	½ö½ö£¬Ö»	null
null	On-mike	ÕıÔÚËÍ»°£¬¿¿½ü»°Í²	null
null	One touch	µ¥´¥Á¬½Ó	null
OP	output	ĞÅºÅÊä³ö	null
OP	over pressure	¹ıÑ¹	null
null	Open	´ò¿ª£¬¿ªÆô	null
null	Operate	²Ù×÷£¬ÔË×ª	null
null	Operation	²Ù×÷£¬ÔË×ª	null
null	Operator	²Ù×İÆ÷£¬ºÏ³ÉÆ÷Ëã×Ó	null
null	Optical	ÊıÂë¹âÀÂ½Ó¿Ú	null
null	Optical master	¼¤¹âÆ÷	null
null	Option	Ñ¡ĞÍ£¬Ñ¡Ôñ	null
null	Optimum	×î¼Ñ×´Ì¬	null
OPTOISO	optoisolator	¹â¸ôÀëÆ÷	null
null	Or	»ò£¬»òÕß	null
ORC	optimum recording current	´ÅÍ·×î¼Ñ¼ÇÂ¼µçÁ÷	null
null	Orchestra	¹ÜÏÒÀÖÆ÷	null
null	Organ	·çÇÙ£¬Ôª¼ş	null
null	Original	Ô­£¨³ÌĞò£©£¬³õÊ¼£¨»¯£©	null
OSC	oscillator	Õñµ´Æ÷£¬ÊÔ»úĞÅºÅ£¨Ò»Ç§ºÕ×È£©	null
OSC	oscillograph	Ê¾²¨Æ÷	null
OSS	optimal stereo signal	×î¼ÑÁ¢ÌåÉùĞÅºÅ	null
null	OTL	ÎŞÊä³ö±äÑ¹Æ÷¹¦ÂÊ·Å´óÆ÷	null
OTR	one-touch time recording	µ¥´¥Ê½¶¨Ê±Â¼Ïñ	null
OTR	operation temperature range	¹¤×÷ÎÂ¶È·¶Î§	null
OTR	overload time relay	¹ıÔØÏŞÊ±¼ÌµçÆ÷	null
OUT	output	Êä³ö	null
null	Outage	ÖĞ¶Ï	null
null	Out-burst	Âö³å£¬ÉÁ¹â£¬ÉÁÁÁ	null
null	Outcome	½á¹û£¬Êä³ö£¬¿ªÊ¼	null
null	Out let	Êä³ö¶Ë×Ó£¬Òı³öÏß	null
null	Outline	ÂÖÀªÏß	null
null	Out phase	·´Ïò	null
OVDB	Overdubs	ÖØµşÂ¼Òô¡¢µşÂ¼	null
null	Overall	ÂÖÀª£¬×ÜÌåÉÏ	null
null	Overcut	¹ıµ÷ÖÆ	null
null	Over drive	¹ı¼¤Àø	null
null	Overflow	ĞÅºÅ¹ıÇ¿	null
null	Overhang	£¨¼¤ÀøÆ÷£©µÍÒôÑÓÉìµ÷½Ú	null
null	Overhearing	´®Òô	null
OVLD	over lode	¹ıÔØ£¬³¬¸ººÉ	null
null	Over sampling	¹ıÈ¡Ñù	null
null	Overtone	·ºÒô	null
OVWR	overwrite	¸²¸ÇÊ½Â¼Òô	null
null	Proximity effect	½ü¾àÀëĞ§¹û	null
null	Prwsnt	Í»³ö¸Ğ	null
PS	position	Î»ÖÃ£¬×´Ì¬	null
PSC	program switching center	½ÚÄ¿ÇĞ»»ÖĞĞÄ	null
PSL	phase sequence logic	ÏàÎ»Ë³ĞòÂß¼­	null
PSM	peak selector memory	·åÖµÑ¡Ôñ´æ´¢Æ÷	null
PSM	phase shifter module	ÒÆÏàÄ£¼ş	null
PSM	pitch shift modulation	½»Æµµ÷ÖÆ	null
PST	posterrior	ºóÃæ	null
PST	preset	Ô¤ÖÃ	null
PSU	power supply	¹©µç	null
null	Psychological acoustics	ĞÄÀíÉùÑ§	null
PT	power transformer	µçÔ´±äÑ¹Æ÷	null
PT	portable	±ãĞ¯Ê½	null
PT	pulse timer	Âö³å¼ÆÊ±Æ÷	null
PTD	pan turnout piece delay	ÉùÏñ·ÖÖ§ÑÓÊ±	null
PTE	private	×¨ÓÃµÄ	null
PTN	pattern	Ä£Ê½£¬ÑùÊ½	null
PTN	procedure turn	³ÌĞò±ä»¯	null
PU	pickup	Ê°Òô	null
PU	power unit	µçÔ´Éè±¸	null
null	Pull	À­£¬Ç÷Ïò	null
null	Pull-in	½ÓÍ¨£¬ÒıÈë	null
null	Pumping	³éÆøĞ§Ó¦	null
null	Pure tone	´¿Òô	null
null	Purging	¾»»¯	null
null	Push	ÍÆ£¬°´Å¥£¬Ñ¹	null
null	Push-pull	ÍÆÍìÊ½µÄ	null
PWM	pulse width modulation	Âö³å¿í¶Èµ÷ÖÆ	null
PWR	power	µçÔ´£¬¹¦ÂÊ	null
PZM	pressure zone microphone	Ñ¹Á¦Çø»°Í²	null
null	P.P.Panoramic potentiometer	È«¾°µçÎ»Æ÷	null
P-P	peak-Peak	·å-·åÖµ	null
PPD	pingpong delay	Æ¹ÅÒÑÓÊ±	null
PPG	programme pulse generator	Âö³å³ÌĞò·¢ÉúÆ÷	null
PPI	peak program indicator	·åÖµÏÔÊ¾Æ÷	null
PPI	programmable peripheral interface	³ÌĞòÍâ²¿½Ó¿Ú	null
PPL	peak program level	·åÖµÒôÁ¿µçÆ½	null
PPM	peak program meter	·åÖµ½ÚÄ¿±í£¬·åÖµÒôÁ¿±í	null
PPM	pulse phase modulation	Âö³åÏàÎ»µ÷ÖÆ	null
null	Pr power rate	¹¦ÂÊ±È	null
PR	program register	³ÌĞò¼Ä´æÆ÷	null
PRC	precision	¾«È·£¬¾«Ï¸£¬¾«ÃÜ¶È	null
null	Pre	Ç°ÖÃ£¬Ô¤±¸£¬Ö®Ç°	null
null	Pre-delay	Ô¤ÑÓ³Ù	null
null	Pre echoes	Ô¤»ØÉù	null
null	Pre emphasis	Ô¤¼ÓÖØ	null
PREAMP	preamplifier	Ç°ÖÃ·Å´óÆ÷	null
null	Preselection	Ô¤Ñ¡	null
null	Presence	ÁÙ³¡Ğ§¹û£¬ÏÖ³¡¸Ğ	null
null	Present	µ±Ç°ÈÕÆÚ£¬ÏÖÊ±£¬¼´Ê±	null
null	Preserve	±£´æ£¬Î¬³Ö	null
null	Preset	Ô¤ÖÃ£¬Ô¤µ÷	null
null	Press	°´£¬Ñ¹	null
null	PREV	³ªÆ¬Ìø»ØÉÏÇú¼ü	null
null	Preview	Ô¤Ñİ	null
null	Previous	ÏòÇ°£¬Ç°Î»µÄ	null
null	Prime	Í¬¶ÈÒô	null
PRM	parameter	²ÎÁ¿	null
PRO	professional	×¨ÒµµÄ	null
null	Probe	´«¸ĞÆ÷	null
null	Process	´¦Àí£¬¼Ó¹¤	null
PROCR	processor	´¦ÀíÆ÷	null
PROG	program	³ÌĞò£¬»ù±¾ÒôÉ«	null
null	Program cartridge	³ÌĞòºĞÊ½´æ´¢Æ÷	null
null	Program set indicator	µçÄÔÑ¡Çú½ÚÄ¿Ñ¡¶¨Ö¸Ê¾	null
null	Prosody	ÔÏÂÉ	null
null	Protect	±£»¤£¬·À»¤	null
null	Protocol	Í¨ĞÅĞ­Òé	null
null	POSTF	ºóÖÃ£¨Íò·Ö£©	null
POT	potentiometer	µçÎ»Æ÷£¬µçÎ»¼Æ	null
null	Potable	±ãĞ¯µÄ£¬Ğ¡ĞÍµÄ	null
null	Power	µçÔ´£¬¹¦ÂÊ	null
null	Power amplifier	¹¦ÂÊ·Å´óÆ÷	null
null	Power dump	ÇĞ¶ÏµçÔ´	null
null	Power out	¹¦ÂÊÊä³ö	null
null	Piower supply	µçÔ´¹©¸ø	null
PP	peak power	·åÖµ¹¦ÂÊ	null
PP	personal preference	¸öÈËÔ¤ÖÃ	null
P	plug	²åÍ·	null
P	positive	Õı¼«	null
P	pulse	Âö³å	null
P	power	¹¦ÂÊ	null
PA	preamplifier	Ç°ÖÃ·Å´óÆ÷	null
PA	public address	À©Éù	null
null	Pace	²½ËÙ£¬¼¶Êı	null
null	Packed cell	»ı²ãµç³Ø	null
null	Packing	Í¼ÏñÑ¹Ëõ	null
P-I-P	picture in picture	»­ÖĞ»­	null
null	PAD	¶¨ÖµË¥¼õ£¬Ë¥¼õÆ÷£¬£¨´ò»÷ÀÖ´ó°´¼üµÄ£©¹Äµæ	null
null	Padding	Í³µ÷£¬Ê¹ÿÿÆ½Ö±	null
null	Paddle	¿ª¹Ø£¬ÃÅµçÂ·	null
null	Page	Ò»Ãæ£¬£¨´æ´¢Æ÷£©Ò³ÃæµØÖ·£¬Ñ°ÕÒ	null
null	Pair	£¨Á¢ÌåÉù£©Åä¶Ô£¬±È½Ï	null
PAL	phase alternation line	ÖğĞĞµ¹Ïà²ÊÉ«µçÊÓÖÆÊ½	null
PAM	pulse amplitude modulation	Âö·ùµ÷ÖÆ	null
PAM	pole amplitude modulation	¼«µãµ÷·ù	null
null	Pan panorama	ÉùÏñµ÷½Ú£¬¶¨Î»£¬È«¾°	null
null	Panel	Ãæ°å£¬²Ù×İ°å£¬ÅäµçÅÌ	null
null	Panotrope	µç³ª»ú	null
null	Paper cone	Ö½Åè	null
null	Parallel	²¢Áª£¬Æ½ºâ	null
null	Parametric	²ÎÁ¿µÄ	null
null	Part	Éù²¿Êı£¬²¿·Ö	null
null	Partial tone	·ÖÒô£¬·ºÒô	null
PAS	public address system	À©ÉùÏµÍ³	null
PASC	precision adaptive subband coding	¾«ÃÜ×ÔÊÊÓ¦·Ö¶Î±àÂë	null
null	Pass	Í¨¹ı	null
null	Passive	±»¶¯£¬±»¶¯·ÖÆµ£¬¹¦ÂÊ·ÖÆµ	null
null	Paste	Õ³Ìù	null
PAT	pattern	Ä£·Â£¬ĞÍºÅ£¬Í¼Æ×ÌØĞÔÇúÏß	null
null	Patch	ÁÙÊ±£¬²å½ÓÏß£¬ÓÃÁ¬½ÓµçÀÂ²åÈë	null
null	Patch bay	ÅäµçÅÌ	null
null	Patch board	²åÏß°å	null
null	Patching	ÁÙÊ±½ÓÏß£¬²¹³¥	null
null	Patching cord system	µ÷¶ÈÈûÉşÏµÍ³	null
null	Path	ĞÅºÅÍ¨Â·	null
null	Pattern	ÑùÊ½£¬·½Ê½£¬Ñù°å	null
null	Pause	ÔİÍ££¬¼äĞª£¬Í£¶Ù	null
PB	playback	²¥·Å£¬ÖØ·Å	null
PB	push button	°´Å¥¿ª¹Ø	null
PBASS	proper bass active supply system	×î¼ÑµÍÒôÖØ·ÅÏµÍ³	null
PBC	play back control	ÖØ·Å¿ØÖÆ£¬»Ø·Å¿ØÖÆ	null
PC	perceptual coding	¸Ğ¾õ±àÂë	null
PC	program control	³ÌĞò¿ØÖÆ	null
PCB	printed circuit board	Ó¡Ë¢ÏßÂ·°å	null
PCC	phase correlation cardioid microphone	ÏàÎ»Ïà¹ØĞÄĞÎ»°Í²	null
PCM	precision capacitor microphone	¾«ÃÜµçÈİ»°Í²	null
PCM	pulse code modulation	Âö³å±àÂëµ÷ÖÆ	null
PCM	card	²¨ĞÎÀ©³ä¿¨£¨Ôö¼ÓĞÂÒôÉ«£©	null
PC-COC	pure copper continuous casting	Á¬ĞøÖıÔì´¿Í­µ¼Ïß	null
PD	power divider	¹¦ÂÊ·ÖÅäÆ÷	null
PD	power doubler	¹¦ÂÊ±¶ÔöÆ÷	null
PD	program directive	³ÌĞòÖ¸Áî	null
PD	pro-digital	×¨ÒµÊı×Ö½Ó¿Ú	null
PD	protective device	±£»¤×°ÖÃ	null
PDM	pulse density modulation	Âö³åÃÜ¶Èµ÷ÖÆ	null
PDP	plasma display panel	µÈÀë×ÓÏÔÊ¾°å	null
PDS	partitioned data set	·ÖÇøÊı¾İ×é	null
PDS	programmable data system	³ÌĞò¿É¿ØÏµÍ³	null
PDS	power distribution system	ÅäµçÏµÍ³	null
PE	phase encoding	ÏàÎ»±àÂë	null
PE	program execution	³ÌĞòÖ´ĞĞ	null
null	Peak	·åÖµ£¬Ï÷²¨£¨µÆ£©	null
null	Peak and dip	·åÊ½ÆµÂÊÅ·ÖŞ±ê×¼21½ÅAV½Ó¿Ú	null
null	Pedal	Ì¤°å	null
PEM	pulse edge molulation	Âö³å±ßÔµµ÷ÖÆ	null
null	Pentatonic	ÎåÉùµ÷Ê½	null
PEQ	parameter equalizer	²ÎÁ¿¾ùºâÆ÷	null
PERC	percussion	´ò»÷ÀÖÆ÷	null
null	PERCUS	´ò»÷ÀÖÆ÷	null
null	Performance	Ê©ĞĞ£¬±íÑİ£¬±íÏÖ£¬Ñİ³ö	null
null	Permalloy head	ÆÂÄªºÏ½ğ´ÅÍ·	null
null	Permutator	×ª»»¿ª¹Ø£¬±ä»»Æ÷	null
null	Perspective	Á¢Ìå¸Ğ	null
null	Perform	Ö´ĞĞ£¬Íê³É£¬Ê©ĞĞ	null
null	Period	ÖÜÆÚ	null
PFL	per fader louder speaker	Ë¥¼õÇ°¼àÌı£¬Ô¤¼àÌı	null
PG	pulse generator	Âö³å·¢ÉúÆ÷	null
PGM	program	½ÚÄ¿£¬³ÌĞò	null
null	Pgmtime	½ÚÄ¿Ê±¼ä	null
PH	phase	ÏàÎ»	null
PH	phasemeter	ÏàÎ»ÒÇ	null
PHA	phase	ÏàÎ»	null
null	Phantom	»ÃÏñµçÔ´£¬»ÃÏó¹©µç	null
null	Phase	ÏàÎ»£¬×´Ì¬	null
null	Phase REV	µ¹Ïà£¨µçÂ·£©	null
null	Phaser	ÒÆÏàÆ÷	null
